participants_all,modalities_all,k,b,corr_empirical_predicted,rmse
sub-27,pain,1.70454663953751,-11.2722402082578,0.966945442961328,4.35457613098287
sub-27,vision,1.46555736612042,-1.63520144202788,0.973417896921177,4.20146552762249
sub-28,pain,0.331546246522777,-0.507473414423844,0.967740537080401,4.72636463474578
sub-28,vision,1.30073199427035,0.397121622377988,0.964611382997328,4.81038107703907
sub-29,pain,4.0555133700624,-19.3189497214904,0.961719973084543,5.53777871803354
sub-29,vision,2.85627753157935,-0.255514853567135,0.973582744260733,5.79828545222656
sub-31,pain,2.41728063680477,0.454319113586881,0.954171059815315,6.83964338412472
sub-31,vision,4.3308937329463,0.269952700858726,0.941779598238621,6.7402703448392
sub-32,pain,0.00100004855046151,0.0894560429081653,0.963450985636017,4.50910621837589
sub-32,vision,0.0959588415228732,0.470510336470312,0.973163820879665,4.02889001913569
sub-33,pain,0.00100065335873586,8.3144934276726,0.961696482115946,4.92543771620844
sub-33,vision,0.00100203799786391,15.8338634242339,0.925609281010772,7.06204991139753
sub-34,pain,0.181018230370589,-1.02709675707583,0.950806190543942,4.62543666724426
sub-34,vision,0.256437534714186,-0.87177685807505,0.951535403621494,4.82091078959706
sub-35,pain,0.00136740564251977,-87.7312392512044,0.849862916545907,8.16926990486949
sub-35,vision,3.0919979458236,25.4493195607689,0.73897657604732,10.370917694779
sub-36,pain,0.299896252404281,0.932208460223756,0.978539828289529,3.07815252601907
sub-36,vision,0.315312524630704,0.672796100524359,0.977397544092703,3.43990360315514
sub-37,pain,1.87205998237216,-121.230793532228,0.975402034500216,3.79535034877504
sub-37,vision,4.93500439564031,-1.22553649775327,0.970466429811691,4.74634911527494
sub-38,pain,2.99614875971725,0.480195258519909,0.937939624007617,6.40447889353529
sub-38,vision,3.9202132235914,-0.110997488227533,0.935064975208356,5.5075930077322
sub-39,pain,4.90918806138439,-0.929214237023472,0.935344011488069,8.43622428006181
sub-39,vision,5.16449775732682,-3.15083518902573,0.905116870120323,12.7171775133242
sub-40,pain,0.459263473827861,0.303072209570304,0.924186069535505,8.12991423126615
sub-40,vision,0.454645106209111,-0.0286757221857271,0.932651097157046,7.73971482384147
sub-41,pain,1.91757446879045,-10.4634629993843,0.926144440690988,6.63867528506627
sub-41,vision,2.59790998249876,5.01303593638717,0.929164929243301,6.42539635444572
sub-42,pain,2.01558012968563,-999.99980557146,0.891418710237977,9.45721318051915
sub-42,vision,1.82474031511189,-0.312687934756652,0.956852703462926,6.77831228166714
sub-43,pain,0.00100000898768159,-146.843727040128,0.943552240690821,7.13080293818761
sub-43,vision,3.21146074044559,-1.80961025469949,0.919544779946904,5.9146514008065
sub-44,pain,2.8086350432274,-3.98263259094307,0.971878105898404,3.53013585115065
sub-44,vision,2.00713989878655,-0.480049269088711,0.985192510716684,2.95686200048933
sub-45,pain,4.20028847460754,-1.63788191664958,0.945184037539279,4.98534329184487
sub-45,vision,3.93611412388977,-0.619611130211958,0.91049494070294,6.10485263967714
sub-46,pain,0.102377140481283,-0.0440571354896371,0.937105082450856,6.61388736301947
sub-46,vision,0.0528150989313353,0.159638271582663,0.930627976287292,7.24717847462148
sub-47,pain,3.4378206253976,-7.1444937320999,0.962123324817895,6.15420097109788
sub-47,vision,3.01141674812635,-0.349365432247409,0.952052895617828,6.02222438913262
sub-48,pain,1.79505826273172,-5.35973381552821,0.934237134782861,6.49355929421622
sub-48,vision,2.98174822254808,2.27011669492164,0.952440425329882,6.42172053440329
sub-50,pain,0.135932243073848,-5.2288171148597,0.831683876721265,11.2515006551183
sub-50,vision,0.0633658044827166,-3.77801391938338,0.777842017541246,11.2226536898713
