participants,model1_s_p,model1_s_v,model1_r,model1_ss,model2_s_p,model2_s_v,model2_w,model2_r,model2_ss,model3_s_p,model3_s_v,model3_w0,model3_a,model3_r,model3_ss,model2mod_s_p,model2mod_s_v,model2mod_w_pain,model2mod_w_vision,model2mod_r,model2mod_ss,model3mod_s_p,model3mod_s_v,model3mod_w0_p,model3mod_w0_v,model3mod_a_p,model3mod_a_v,model3mod_r,model3mod_ss,model_2_vs_1_F,model_2_vs_1_P,model_3_vs_2_F,model_3_vs_2_P,model_2mod_vs_2_F,model_2mod_vs_2_P,model_3mod_vs_3_F,model_3mod_vs_3_P,model_3mod_vs_2mod_F,model_3mod_vs_2mod_P,best_model,best_model_label
sub-29,1.33269,1.56142,0.686706430505285,38518.7763755084,1.33269,1.56142,0,0.686706430505285,38518.7763755084,1.34683,1.6081,0.37341,-0.26633,0.710977006273857,36069.4215318561,1.33269,1.57015,0,0.0182,0.686765066003542,38508.4451334788,1.34401,1.70484,0.11792,0.60556,-0.43041,0.19322,0.747160116876423,32304.50393402,0,1,9.50693589051504,0.00246628417063055,0.0375599139130201,0.846610420960322,8.04158190391265,0.000497220514413699,13.2511535740332,5.44238702782085e-06,model1,no expect
sub-31,0.84886,1.14142,0.402141461739957,42480.116495581,0.84886,1.14142,0,0.402141461739957,42480.116495581,0.84797,1.14142,0,1,0.403526112388575,42446.2361275455,0.84886,1.14142,0,0,0.402141461739957,42480.116495581,0.84849,1.15735,0.00341,0.24046,0.88014,-0.15344,0.408042318320358,42256.6465701646,0,1,0.111747282155119,0.738663828490155,0,1,0.309576848166655,0.734265615796405,0.36489939702454,0.694934335711606,model1,no expect
sub-32,1.09416,1.41777,0.198524888647417,52466.0559039578,1.46621,1.71616,0.64634,0.712240166112948,25166.6125569791,1.72128,1.58324,0.44608,-0.03317,0.760850151931307,22029.4382212456,1.61927,1.62139,0.72063,0.555,0.718116741608459,24723.2056362422,2.06651,1.66121,0.50277,0.66421,-0.05184,0.05546,0.792766960119957,19201.2639287648,152.949527999013,0,19.937158750563,1.63461372959528e-05,2.51087863833375,0.115319166162616,10.1630823317227,7.62994229324132e-05,19.8431717427285,2.66395870918146e-08,model3mod,expect learn by mod
sub-33,1.26068,1.66387,0.508779105725939,42520.0787740606,1.50646,1.71603,0.38456,0.6404884125312,33691.1726204472,1.51397,1.72787,0.52986,0.01587,0.664067212925473,31934.3367692463,1.40202,1.74726,0.26434,0.49972,0.651363996370456,32864.5832474083,1.34103,1.74632,0.78875,0.51615,0.20289,0.01542,0.706936396094481,28575.374633617,36.9496123416011,1.07398496762556e-08,7.70196108800936,0.00627022239415653,3.52119214031342,0.0626703768948591,8.11077336098222,0.000467356411401831,10.3570083733366,6.44469603596765e-05,model3mod,expect learn by mod
sub-34,2.20873,0.84721,0.326209648145492,56443.8511193649,2.36416,0.8671,0.23777,0.392383309684464,53266.8549786376,2.38468,0.86999,0.38441,0.02604,0.406247226231171,52501.9247586585,2.55817,0.85078,0.41222,0.05299,0.426842318513104,51455.4143586191,2.59426,0.86117,0.52579,0.30252,0.02569,0.79865,0.449958602142572,50188.6282822461,8.40966593620367,0.00433076802775012,2.03973913888569,0.155462982300364,4.92857146256973,0.028024105489049,3.18035105432276,0.0446351454424193,1.7415945057947,0.179070063871767,model2mod,expect by mod
sub-35,0.80734,1.11689,0.440853892178107,40636.3243348758,0.85048,1.06216,0.34135,0.600274861567595,33417.2487235616,0.8536,1.06953,0.4517,-0.07566,0.607964771118565,32991.8961868366,0.84197,1.04714,0.29382,0.39776,0.599827448711701,33251.1263912007,0.84384,1.04761,0.46182,0.40298,0.2623,-0.00233,0.61385565896986,32436.7130543234,30.4600079322994,1.58548271733672e-07,1.80496915982807,0.181286492729794,0.69943875755958,0.404397533335236,1.18099623963922,0.310055735572191,1.73243571722024,0.180677022872619,model2,expect
sub-36,1.55739,1.36472,0.706295677457184,74772.2174396003,1.43918,1.64431,0.36981,0.707236563636666,56623.0530396923,1.43593,1.64692,0.42191,0.00705,0.70817754482246,56484.3912064083,1.38282,1.39912,0.46428,0.06733,0.713318704050855,52831.0828161042,1.30567,1.37308,0.53138,0.78771,-0.02409,0.99999,0.724164075995423,51503.1197987787,45.1941752168177,4.09569045345393e-10,0.343681789697041,0.558655694935525,10.0485510234614,0.00187310181712796,6.67353217570701,0.00171179148422962,1.77910481061059,0.17263853390642,model2mod,expect by mod
sub-37,1.57142,1.73342,0.688607227644036,35213.395192139,0.99791,1.72916,0.28295,0.754108771530466,27156.1002270284,0.82291,1.76603,0.82922,-0.11659,0.897696978503685,12242.3269618568,0.91174,1.73036,0.31219,0.22059,0.756302224697803,26972.5890176876,0.79892,1.76608,0.89479,0.40458,-0.14597,-0.24305,0.906488266748345,11234.6335834187,41.8351155203739,1.52007162412815e-09,170.549950481584,0,0.952506609242201,0.330765452816114,6.18897292875204,0.00266655619841971,96.6581523911266,0,model3mod,expect learn by mod
sub-38,1.36412,1.47552,0.286539354073685,30862.5525245276,1.39962,1.73258,0.42426,0.527252424469984,23406.429156063,1.41099,1.84661,0.79403,0.17603,0.693083125649804,17193.2216840931,1.39051,1.81546,0.35396,0.49354,0.532927318247181,23204.6898555185,1.39082,2.04325,0.32852,0.84682,0.28804,0.12223,0.692314821281715,17073.539812606,44.9155822933885,4.5618131494507e-10,50.5925568842375,5.36495292635664e-11,1.21714628603462,0.271814191106635,0.483675279013523,0.61755451592761,24.7780693168625,6.39143626912642e-10,model3,expect learn
sub-39,0.86012,1.80237,0.554391324101066,53829.6548450045,0.85438,1.86615,0.15846,0.57057141215798,51715.058994169,0.8495,1.87899,0.05663,-0.02177,0.572547856517341,51547.5862360191,0.85703,1.90763,0.09187,0.23709,0.575742584797152,51274.0968878677,0.8375,1.94691,0.22136,0.05701,0.15392,-0.0453,0.586041574683251,50357.1947622124,5.7654002676748,0.0176484715066283,0.454845471010653,0.501154989178136,1.20401330553313,0.274404736293736,1.63108791267102,0.19946672741215,1.2563497027378,0.287926832078824,model2,expect
