"","modality","type","period","brain_measure","stim_int_estimate","stim_int_SE","stim_int_DF","stim_int_t","stim_int_p","cue_mean_estimate","cue_mean_SE","cue_mean_DF","cue_mean_t","cue_mean_p","cue_var_estimate","cue_var_SE","cue_var_DF","cue_var_t","cue_var_p","cue_sk_neg_sym_estimate","cue_sk_neg_sym_SE","cue_sk_neg_sym_DF","cue_sk_neg_sym_t","cue_sk_neg_sym_p","cue_sk_pos_sym_estimate","cue_sk_pos_sym_SE","cue_sk_pos_sym_DF","cue_sk_pos_sym_t","cue_sk_pos_sym_p","cue_mean_X_var_estimate","cue_mean_X_var_SE","cue_mean_X_var_DF","cue_mean_X_var_t","cue_mean_X_var_p","stim_int_X_cue_mean_estimate","stim_int_X_cue_mean_SE","stim_int_X_cue_mean_DF","stim_int_X_cue_mean_t","stim_int_X_cue_mean_p"
"466394","vision","visual","cue","Ctx_V3B_L",0.008,0.029,2956.33,0.27,0.786,-0.082,0.029,2955.68,-2.8,0.005,0.029,0.029,2956.3,0.98,0.325,0.056,0.042,2956.04,1.34,0.179,-0.012,0.042,2956.03,-0.29,0.771,-0.018,0.029,2955.59,-0.62,0.532,-0.003,0.029,2955.66,-0.1,0.919
"472447","pain","visual","cue","Ctx_MT_L",-0.002,0.028,2898.65,-0.08,0.939,-0.021,0.03,270.28,-0.71,0.475,0,0.028,2897.98,0,0.998,-0.028,0.04,2897.52,-0.69,0.492,0.013,0.04,2898.34,0.31,0.755,-0.002,0.028,2905.44,-0.07,0.942,-0.009,0.028,2897.02,-0.3,0.764
"472451","vision","visual","cue","Ctx_MT_L",-0.04,0.03,2957.37,-1.36,0.175,-0.104,0.03,2956.75,-3.48,0.001,0.022,0.03,2957.48,0.74,0.458,0.007,0.042,2957.24,0.16,0.877,0.053,0.042,2957.17,1.26,0.209,-0.008,0.03,2956.64,-0.28,0.778,-0.002,0.03,2956.77,-0.07,0.948
"478504","pain","visual","cue","Ctx_VMV1_L",-0.028,0.03,2897.36,-0.96,0.339,0.042,0.03,341.14,1.4,0.162,-0.001,0.03,2897.66,-0.05,0.961,-0.045,0.042,2896.68,-1.08,0.281,-0.015,0.042,2897.91,-0.35,0.726,0.022,0.03,2905.33,0.74,0.46,0.002,0.03,2896.35,0.06,0.956
"478508","vision","visual","cue","Ctx_VMV1_L",0.021,0.03,2916.01,0.69,0.489,-0.036,0.031,319.74,-1.17,0.243,0.023,0.03,2916.56,0.76,0.445,-0.05,0.043,2916.39,-1.17,0.241,-0.037,0.043,2916.17,-0.88,0.381,-0.018,0.03,2918.76,-0.58,0.559,0.003,0.03,2917.62,0.09,0.928
"484561","pain","visual","cue","Ctx_VMV3_L",0.033,0.03,2933.82,1.11,0.267,-0.005,0.03,2934.25,-0.15,0.879,0.029,0.03,2935.17,0.97,0.331,0.006,0.042,2934.32,0.16,0.877,0.026,0.042,2934.8,0.62,0.535,-0.009,0.03,2934.22,-0.32,0.749,-0.005,0.03,2934.44,-0.17,0.861
"484565","vision","visual","cue","Ctx_VMV3_L",0.041,0.03,2959.44,1.4,0.162,-0.071,0.03,2958.85,-2.39,0.017,0.022,0.03,2959.73,0.74,0.46,0.052,0.042,2959.39,1.25,0.211,-0.019,0.042,2959.33,-0.44,0.657,-0.041,0.03,2958.79,-1.39,0.165,0,0.03,2958.78,-0.01,0.993
"490618","pain","visual","cue","Ctx_V4t_L",0.011,0.029,2897.74,0.39,0.696,-0.021,0.031,250.34,-0.68,0.495,0.048,0.029,2897.45,1.65,0.1,-0.004,0.041,2897.15,-0.09,0.925,0.008,0.041,2898.36,0.2,0.84,-0.012,0.029,2903.98,-0.41,0.681,0.021,0.029,2896.66,0.72,0.474
"490622","vision","visual","cue","Ctx_V4t_L",0.009,0.029,2960.29,0.32,0.752,-0.099,0.029,2959.75,-3.37,0.001,0.058,0.029,2960.35,1.96,0.05,0.015,0.042,2960.16,0.36,0.722,0.039,0.042,2960.02,0.92,0.356,-0.037,0.029,2959.66,-1.26,0.21,-0.005,0.029,2959.73,-0.18,0.854
"496675","pain","visual","cue","Ctx_V3CD_L",0.003,0.03,2895.58,0.09,0.928,-0.014,0.031,299.58,-0.47,0.636,0.023,0.03,2896.14,0.79,0.432,0.013,0.042,2895.08,0.32,0.748,-0.007,0.042,2896.57,-0.17,0.862,0.01,0.03,2903.22,0.34,0.734,-0.028,0.03,2894.8,-0.94,0.348
"496679","vision","visual","cue","Ctx_V3CD_L",0.016,0.029,2963,0.53,0.596,-0.029,0.029,2962.43,-0.98,0.329,0.049,0.029,2963.09,1.67,0.096,0.053,0.042,2962.82,1.28,0.201,-0.015,0.041,2962.71,-0.35,0.723,-0.04,0.029,2962.34,-1.38,0.169,-0.006,0.029,2962.37,-0.19,0.85
"502732","pain","visual","cue","Ctx_VMV2_L",0,0.03,2934.82,0.01,0.99,-0.009,0.03,2935.28,-0.29,0.772,0.036,0.03,2936.4,1.22,0.223,-0.004,0.042,2935.37,-0.1,0.921,0.018,0.042,2935.78,0.42,0.675,0.014,0.03,2935.24,0.46,0.648,0.005,0.03,2935.46,0.18,0.86
"502736","vision","visual","cue","Ctx_VMV2_L",0.024,0.03,2954.37,0.8,0.424,-0.088,0.03,2953.83,-2.97,0.003,0.008,0.03,2954.64,0.26,0.795,0.022,0.042,2954.29,0.53,0.597,0.001,0.042,2954.31,0.03,0.978,-0.056,0.03,2953.67,-1.89,0.059,0.043,0.03,2953.7,1.44,0.15
"508789","pain","visual","cue","Ctx_V1_R",0.008,0.029,2932.96,0.26,0.792,-0.006,0.029,2933.35,-0.2,0.844,0.035,0.029,2934.21,1.18,0.238,-0.016,0.041,2933.4,-0.4,0.69,-0.031,0.041,2933.79,-0.75,0.452,-0.007,0.029,2933.26,-0.24,0.807,-0.012,0.029,2933.51,-0.42,0.677
"508793","vision","visual","cue","Ctx_V1_R",-0.006,0.03,2957.9,-0.19,0.85,-0.037,0.03,2957.06,-1.24,0.215,0.042,0.03,2957.81,1.39,0.165,-0.056,0.043,2957.44,-1.3,0.195,-0.066,0.043,2957.47,-1.54,0.125,-0.022,0.03,2956.92,-0.72,0.473,0,0.03,2957.08,0.01,0.99
"514846","pain","visual","cue","Ctx_V2_R",0.008,0.029,2939.2,0.27,0.79,-0.004,0.029,2939.59,-0.14,0.886,0.034,0.029,2940.39,1.15,0.249,0,0.041,2939.63,0,0.999,0.014,0.041,2940.01,0.35,0.729,0.009,0.029,2939.5,0.31,0.758,-0.028,0.029,2939.74,-0.96,0.336
"514850","vision","visual","cue","Ctx_V2_R",0.004,0.03,2961.83,0.14,0.892,-0.044,0.03,2961.02,-1.48,0.14,0.054,0.03,2961.83,1.79,0.074,-0.044,0.043,2961.43,-1.03,0.305,-0.067,0.043,2961.44,-1.56,0.118,-0.042,0.03,2960.88,-1.4,0.161,0,0.03,2961.03,0.01,0.99
"520903","pain","visual","cue","Ctx_V3_R",-0.005,0.029,2936.44,-0.16,0.873,0.006,0.029,2936.8,0.21,0.83,0.046,0.029,2937.6,1.59,0.112,-0.008,0.041,2936.87,-0.19,0.847,-0.013,0.041,2937.2,-0.32,0.746,-0.001,0.029,2936.75,-0.05,0.96,-0.024,0.029,2936.95,-0.84,0.4
"520907","vision","visual","cue","Ctx_V3_R",0.009,0.03,2961.25,0.31,0.76,-0.043,0.03,2960.37,-1.43,0.152,0.058,0.03,2961.14,1.92,0.055,-0.021,0.043,2960.77,-0.49,0.621,-0.054,0.043,2960.81,-1.27,0.204,-0.053,0.03,2960.23,-1.76,0.078,-0.008,0.03,2960.38,-0.26,0.798
"526960","pain","visual","cue","Ctx_V4_R",0.024,0.029,2925.22,0.82,0.413,-0.012,0.029,2925.6,-0.42,0.677,0.025,0.029,2926.36,0.86,0.391,0.007,0.041,2925.63,0.17,0.868,-0.052,0.041,2925.97,-1.27,0.203,-0.002,0.029,2925.52,-0.07,0.945,-0.031,0.029,2925.72,-1.06,0.291
"526964","vision","visual","cue","Ctx_V4_R",0.012,0.03,2952.95,0.4,0.688,-0.068,0.03,2952.02,-2.24,0.025,0.07,0.03,2952.81,2.33,0.02,-0.006,0.043,2952.52,-0.15,0.884,-0.059,0.043,2952.51,-1.39,0.166,-0.043,0.03,2951.88,-1.43,0.153,-0.009,0.03,2952.04,-0.3,0.764
"533017","pain","visual","cue","Ctx_V3A_R",-0.004,0.029,2892.69,-0.13,0.893,0.032,0.03,329.83,1.07,0.286,0.036,0.029,2892.61,1.24,0.216,0.011,0.041,2891.52,0.27,0.787,0.018,0.041,2892.77,0.44,0.659,0.018,0.029,2901,0.63,0.531,0.008,0.029,2891.51,0.27,0.784
"533021","vision","visual","cue","Ctx_V3A_R",0.012,0.03,2955.73,0.42,0.677,-0.008,0.03,2954.99,-0.28,0.778,0.022,0.03,2955.72,0.74,0.462,-0.025,0.042,2955.44,-0.59,0.557,-0.05,0.042,2955.36,-1.19,0.235,-0.038,0.03,2954.92,-1.28,0.2,-0.015,0.03,2955.02,-0.5,0.616
"539074","pain","visual","cue","Ctx_V3B_R",0.018,0.029,2882.8,0.61,0.543,0.057,0.03,290.41,1.9,0.058,0.027,0.029,2882.17,0.93,0.354,0.067,0.041,2881.55,1.64,0.1,0.016,0.041,2882.78,0.4,0.69,-0.036,0.029,2890.38,-1.24,0.216,-0.026,0.029,2881.43,-0.9,0.368
"539078","vision","visual","cue","Ctx_V3B_R",-0.016,0.029,2962.79,-0.53,0.596,-0.054,0.029,2962.22,-1.83,0.067,0.037,0.029,2962.81,1.27,0.206,0.041,0.042,2962.59,0.99,0.324,-0.015,0.042,2962.69,-0.35,0.723,-0.004,0.029,2962.13,-0.14,0.887,-0.001,0.029,2962.22,-0.02,0.984
"545131","pain","visual","cue","Ctx_MT_R",0.027,0.029,2935.12,0.96,0.338,0.037,0.029,2935.44,1.31,0.192,0.017,0.029,2936.07,0.59,0.553,0.003,0.04,2935.45,0.08,0.94,-0.034,0.04,2935.72,-0.83,0.405,0.001,0.029,2935.38,0.02,0.986,-0.023,0.029,2935.56,-0.81,0.418
"545135","vision","visual","cue","Ctx_MT_R",-0.001,0.03,2917.68,-0.02,0.983,-0.011,0.03,334.09,-0.37,0.708,0.026,0.03,2916.68,0.87,0.383,0.011,0.042,2916.69,0.26,0.797,-0.029,0.042,2916.4,-0.68,0.499,-0.043,0.03,2918.19,-1.44,0.149,-0.002,0.03,2919.58,-0.08,0.934
"551188","pain","visual","cue","Ctx_VMV1_R",-0.017,0.03,2935.64,-0.59,0.555,0.035,0.03,2936.04,1.17,0.241,0.032,0.03,2937.04,1.08,0.28,0.013,0.042,2936.11,0.32,0.751,0.038,0.042,2936.53,0.9,0.368,-0.012,0.03,2935.99,-0.4,0.688,-0.009,0.03,2936.23,-0.3,0.768
"551192","vision","visual","cue","Ctx_VMV1_R",-0.021,0.03,2956.14,-0.69,0.487,-0.032,0.03,2955.03,-1.06,0.289,0.002,0.03,2955.84,0.07,0.943,-0.045,0.043,2955.54,-1.04,0.296,-0.049,0.043,2955.5,-1.15,0.248,-0.047,0.03,2954.94,-1.55,0.121,-0.016,0.03,2955.1,-0.53,0.593
"557245","pain","visual","cue","Ctx_VMV3_R",0.03,0.029,2939.98,1.01,0.311,0.014,0.029,2940.39,0.48,0.632,0.02,0.029,2941.28,0.68,0.494,0.03,0.041,2940.44,0.72,0.473,0.073,0.041,2940.81,1.76,0.079,-0.02,0.029,2940.3,-0.69,0.492,-0.016,0.029,2940.56,-0.54,0.591
"557249","vision","visual","cue","Ctx_VMV3_R",0.037,0.03,2958.27,1.23,0.218,-0.041,0.03,2957.66,-1.37,0.17,0.02,0.03,2958.33,0.68,0.496,0.036,0.042,2958.05,0.86,0.39,-0.022,0.042,2957.99,-0.53,0.595,-0.061,0.03,2957.47,-2.04,0.042,0,0.03,2957.63,-0.01,0.99
"563302","pain","visual","cue","Ctx_V4t_R",0.005,0.029,2928.88,0.19,0.849,0.012,0.029,2929.19,0.41,0.685,0.042,0.029,2929.84,1.46,0.145,0.011,0.04,2929.2,0.28,0.78,-0.001,0.04,2929.5,-0.03,0.976,0.014,0.029,2929.14,0.5,0.616,0.003,0.029,2929.33,0.1,0.919
"563306","vision","visual","cue","Ctx_V4t_R",-0.019,0.03,2908.92,-0.63,0.529,-0.048,0.03,355.97,-1.6,0.11,0.048,0.03,2908.41,1.58,0.114,-0.025,0.043,2908.58,-0.59,0.553,-0.029,0.042,2908.09,-0.68,0.497,-0.048,0.03,2909.97,-1.59,0.111,-0.011,0.03,2910.82,-0.36,0.719
"569359","pain","visual","cue","Ctx_V3CD_R",-0.023,0.029,2885.66,-0.81,0.416,-0.014,0.029,281.93,-0.49,0.626,0.045,0.029,2885.67,1.58,0.115,0.03,0.041,2884.85,0.73,0.466,-0.023,0.041,2886.11,-0.56,0.574,-0.018,0.029,2894.49,-0.63,0.526,-0.027,0.029,2884.57,-0.93,0.353
"569363","vision","visual","cue","Ctx_V3CD_R",0.002,0.03,2955.94,0.07,0.942,-0.046,0.03,2955.13,-1.55,0.12,0.057,0.03,2955.82,1.93,0.053,0.053,0.042,2955.55,1.26,0.208,-0.009,0.042,2955.52,-0.21,0.834,-0.033,0.03,2955.04,-1.1,0.27,-0.02,0.03,2955.15,-0.68,0.496
"575416","pain","visual","cue","Ctx_VMV2_R",0.011,0.03,2930.65,0.37,0.711,0.021,0.03,2931.11,0.69,0.489,0.014,0.03,2932.24,0.47,0.637,0.005,0.042,2931.14,0.11,0.909,0.03,0.042,2931.68,0.71,0.478,0.006,0.03,2931.02,0.2,0.843,-0.037,0.03,2931.32,-1.25,0.211
"575420","vision","visual","cue","Ctx_VMV2_R",0.01,0.03,2955.2,0.34,0.736,-0.03,0.03,2954.49,-0.99,0.322,0.011,0.03,2955.19,0.37,0.708,-0.001,0.043,2954.9,-0.02,0.981,-0.013,0.043,2954.84,-0.31,0.76,-0.044,0.03,2954.31,-1.46,0.145,-0.002,0.03,2954.46,-0.08,0.939
"581473","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",-0.012,0.03,2897.78,-0.4,0.687,-0.003,0.031,276.31,-0.1,0.919,-0.011,0.03,2898.28,-0.37,0.711,0.004,0.042,2897.01,0.09,0.93,0.015,0.042,2898.81,0.35,0.724,0.005,0.03,2903.38,0.16,0.875,-0.079,0.03,2896.88,-2.67,0.008
"581477","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",0.016,0.031,2928.52,0.51,0.61,-0.058,0.032,257.34,-1.79,0.074,0.007,0.031,2928.11,0.21,0.83,0.04,0.044,2927.74,0.93,0.353,-0.034,0.043,2927.99,-0.79,0.428,-0.02,0.031,2928.95,-0.64,0.524,-0.018,0.031,2929.82,-0.58,0.565
"587530","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.013,0.031,2935.08,-0.44,0.659,0.018,0.031,2935.74,0.59,0.554,0.005,0.031,2937.41,0.16,0.876,-0.016,0.043,2935.89,-0.38,0.706,-0.013,0.043,2936.49,-0.3,0.764,0.03,0.031,2935.6,0.99,0.323,-0.023,0.031,2935.94,-0.77,0.442
"587534","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.006,0.031,2963.8,-0.18,0.854,-0.037,0.031,2962.53,-1.22,0.224,-0.026,0.031,2963.75,-0.86,0.389,0.014,0.044,2963.11,0.32,0.75,-0.042,0.044,2963.31,-0.96,0.337,-0.046,0.031,2962.28,-1.51,0.132,0.049,0.031,2962.55,1.6,0.11
